         CN num,      gen-CN num,      surface CN,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN, mean CN of NN Ni,  0.2269,  0.2235,  0.0109,  0.0078, -0.7236,  0.0104,  0.0080, -0.7001
         CN num, mean CN of NN Ni,      surface CN,  0.2489,  0.2437,  0.0020,  0.0608, -0.6607,  0.0020,  0.0575, -0.6381
     surface CN, mean CN of NN Ni,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1868, -1.7601
         CN num,      surface CN, rms CN of NN Ni,  0.2270,  0.2236,  0.0109,  0.0076, -0.7232,  0.0104,  0.0078, -0.6998
         CN num, rms CN of NN Ni,      surface CN,  0.2491,  0.2438,  0.0020,  0.0609, -0.6606,  0.0020,  0.0576, -0.6381
     surface CN, rms CN of NN Ni,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1869, -1.7604
         CN num,      surface CN, sub surface Ni num,  0.2156,  0.2136,  0.0101,  0.1083, -0.6989,  0.0095,  0.1039, -0.6725
         CN num, sub surface Ni num,      surface CN,  0.2396,  0.2357,  0.0166,  0.0580, -0.6141,  0.0161,  0.0544, -0.5892
     surface CN, sub surface Ni num,          CN num,  0.1309,  0.1297,  0.0089,  0.1796, -1.7256,  0.0084,  0.1788, -1.7152
         CN num,      surface CN,             BOO,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,             BOO,      surface CN,  0.1806,  0.1809,  0.1490,  0.0000, -1.3957,  0.1450,  0.0000, -1.3616
     surface CN,             BOO,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,  Pt bond length,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,  Pt bond length,      surface CN,  0.1566,  0.1549,  0.0634,  0.0000, -1.6689,  0.0631,  0.0000, -1.6595
     surface CN,  Pt bond length,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,    surface curv,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,    surface curv,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7709,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,      chemSROP11,  0.2300,  0.2268,  0.0112,  0.0781, -0.6834,  0.0107,  0.0736, -0.6606
         CN num,      chemSROP11,      surface CN,  0.2631,  0.2579,  0.0087,  0.0691, -0.5902,  0.0076,  0.0670, -0.5728
     surface CN,      chemSROP11,          CN num,  0.1343,  0.1329,  0.0125,  0.1881, -1.7713,  0.0118,  0.1871, -1.7609
         CN num,      surface CN,      chemSROP12,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,      chemSROP12,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,      chemSROP22,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,      chemSROP22,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,       gCN-Ni-Ni,  0.2260,  0.2234,  0.0111,  0.0859, -0.7071,  0.0105,  0.0806, -0.6806
         CN num,       gCN-Ni-Ni,      surface CN,  0.2545,  0.2500,  0.0154,  0.0677, -0.6270,  0.0150,  0.0643, -0.6026
     surface CN,       gCN-Ni-Ni,          CN num,  0.1345,  0.1330,  0.0016,  0.1873, -1.7682,  0.0023,  0.1862, -1.7573
         CN num,      surface CN,       gCN-Ni-Pt,  0.2269,  0.2233,  0.0109,  0.0563, -0.7141,  0.0104,  0.0593, -0.6935
         CN num,       gCN-Ni-Pt,      surface CN,  0.2522,  0.2466,  0.0128,  0.0639, -0.6431,  0.0129,  0.0615, -0.6263
     surface CN,       gCN-Ni-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,       gCN-Pt-Ni,  0.2175,  0.2138,  0.0102,  0.1618, -0.7838,  0.0097,  0.1624, -0.7631
         CN num,       gCN-Pt-Ni,      surface CN,  0.2279,  0.2234,  0.0310,  0.0516, -0.7270,  0.0302,  0.0504, -0.7111
     surface CN,       gCN-Pt-Ni,          CN num,  0.1345,  0.1331,  0.0014,  0.1866, -1.7658,  0.0020,  0.1852, -1.7537
         CN num,      surface CN,       gCN-Pt-Pt,  0.2182,  0.2155,  0.0092,  0.0505, -0.8331,  0.0089,  0.0492, -0.8142
         CN num,       gCN-Pt-Pt,      surface CN,  0.2161,  0.2136,  0.0102,  0.0287, -0.7758,  0.0098,  0.0316, -0.7708
     surface CN,       gCN-Pt-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,        gCN-Ni-X,  0.2259,  0.2227,  0.0109,  0.0401, -0.7164,  0.0104,  0.0402, -0.6929
         CN num,        gCN-Ni-X,      surface CN,  0.2515,  0.2464,  0.0082,  0.0651, -0.6437,  0.0082,  0.0621, -0.6230
     surface CN,        gCN-Ni-X,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,        gCN-Pt-X,  0.2039,  0.2013,  0.0075,  0.0804, -0.9719,  0.0074,  0.0789, -0.9566
         CN num,        gCN-Pt-X,      surface CN,  0.1880,  0.1863,  0.0122,  0.0139, -0.8671,  0.0119,  0.0178, -0.8666
     surface CN,        gCN-Pt-X,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,           CN-Pt,  0.2106,  0.2080,  0.0073,  0.0645, -0.9737,  0.0071,  0.0633, -0.9550
         CN num,           CN-Pt,      surface CN,  0.1869,  0.1853,  0.0109,  0.0000, -0.8743,  0.0107,  0.0028, -0.8700
     surface CN,           CN-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,  exp neg strain,  0.2210,  0.2170,  0.0114,  1.1221, -1.8060,  0.0109,  1.1822, -1.8411
         CN num,  exp neg strain,      surface CN,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
     surface CN,  exp neg strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,          strain,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,          strain,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,      surface CN,  inverse strain,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,  inverse strain,      surface CN,  0.2632,  0.2580,  0.0000,  0.0688, -0.5895,  0.0000,  0.0668, -0.5725
     surface CN,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni, mean CN of NN Ni,  0.2710,  0.2650,  0.0051,  0.0033, -0.3637,  0.0049,  0.0045, -0.3598
         CN num, mean CN of NN Ni,           CN-Ni,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
          CN-Ni, mean CN of NN Ni,          CN num,  0.1345,  0.1329,  0.0004,  0.1871, -1.7691,  0.0006,  0.1858, -1.7584
         CN num,           CN-Ni, rms CN of NN Ni,  0.2710,  0.2651,  0.0052,  0.0030, -0.3626,  0.0049,  0.0042, -0.3589
         CN num, rms CN of NN Ni,           CN-Ni,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
          CN-Ni, rms CN of NN Ni,          CN num,  0.1345,  0.1330,  0.0003,  0.1872, -1.7693,  0.0005,  0.1859, -1.7586
         CN num,           CN-Ni, sub surface Ni num,  0.2571,  0.2519,  0.0000,  0.1445, -0.3640,  0.0000,  0.1428, -0.3549
         CN num, sub surface Ni num,           CN-Ni,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
          CN-Ni, sub surface Ni num,          CN num,  0.1324,  0.1312,  0.0096,  0.1833, -1.7460,  0.0091,  0.1826, -1.7371
         CN num,           CN-Ni,             BOO,  0.2702,  0.2646,  0.0066,  0.3080, -0.6472,  0.0067,  0.2708, -0.6041
         CN num,             BOO,           CN-Ni,  0.1781,  0.1781,  0.1482,  0.0225, -1.4179,  0.1441,  0.0244, -1.3856
          CN-Ni,             BOO,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,  Pt bond length,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,  Pt bond length,           CN-Ni,  0.1566,  0.1548,  0.0633,  0.0011, -1.6690,  0.0628,  0.0041, -1.6597
          CN-Ni,  Pt bond length,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,    surface curv,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,    surface curv,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,      chemSROP11,  0.2713,  0.2655,  0.0061,  0.0264, -0.3524,  0.0062,  0.0394, -0.3447
         CN num,      chemSROP11,           CN-Ni,  0.2769,  0.2712,  0.0042,  0.0289, -0.3266,  0.0042,  0.0307, -0.3194
          CN-Ni,      chemSROP11,          CN num,  0.1343,  0.1331,  0.0290,  0.1879, -1.7705,  0.0180,  0.1871, -1.7607
         CN num,           CN-Ni,      chemSROP12,  0.2713,  0.2654,  0.0061,  0.0111, -0.3530,  0.0064,  0.0497, -0.3468
         CN num,      chemSROP12,           CN-Ni,  0.2770,  0.2712,  0.0014,  0.0293, -0.3274,  0.0062,  0.0317, -0.3214
          CN-Ni,      chemSROP12,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0010,  0.1871, -1.7611
         CN num,           CN-Ni,      chemSROP22,  0.2713,  0.2655,  0.0061,  0.0001, -0.3526,  0.0063,  0.0111, -0.3459
         CN num,      chemSROP22,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0014,  0.0313, -0.3206
          CN-Ni,      chemSROP22,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,       gCN-Ni-Ni,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,       gCN-Ni-Ni,           CN-Ni,  0.2708,  0.2655,  0.0159,  0.0000, -0.3341,  0.0162,  0.0000, -0.3249
          CN-Ni,       gCN-Ni-Ni,          CN num,  0.1345,  0.1331,  0.0015,  0.1876, -1.7693,  0.0018,  0.1867, -1.7596
         CN num,           CN-Ni,       gCN-Ni-Pt,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,       gCN-Ni-Pt,           CN-Ni,  0.2668,  0.2608,  0.0141,  0.0000, -0.3731,  0.0143,  0.0000, -0.3659
          CN-Ni,       gCN-Ni-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,       gCN-Pt-Ni,  0.2584,  0.2527,  0.0024,  0.1935, -0.4780,  0.0025,  0.1908, -0.4687
         CN num,       gCN-Pt-Ni,           CN-Ni,  0.2382,  0.2338,  0.0339,  0.0000, -0.5227,  0.0330,  0.0000, -0.5103
          CN-Ni,       gCN-Pt-Ni,          CN num,  0.1345,  0.1330,  0.0025,  0.1871, -1.7673,  0.0040,  0.1857, -1.7555
         CN num,           CN-Ni,       gCN-Pt-Pt,  0.1713,  0.1700,  0.0205,  0.1692, -1.2414,  0.0208,  0.1674, -1.2305
         CN num,       gCN-Pt-Pt,           CN-Ni,  0.1633,  0.1612,  0.0164,  0.1290, -1.0372,  0.0164,  0.1317, -1.0324
          CN-Ni,       gCN-Pt-Pt,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0004,  0.1867, -1.7593
         CN num,           CN-Ni,        gCN-Ni-X,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,        gCN-Ni-X,           CN-Ni,  0.2667,  0.2609,  0.0088,  0.0000, -0.3662,  0.0090,  0.0000, -0.3585
          CN-Ni,        gCN-Ni-X,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0003,  0.1869, -1.7604
         CN num,           CN-Ni,        gCN-Pt-X,  0.1438,  0.1436,  0.0179,  0.1784, -1.4054,  0.0180,  0.1761, -1.3906
         CN num,        gCN-Pt-X,           CN-Ni,  0.1405,  0.1389,  0.0158,  0.1037, -1.0904,  0.0157,  0.1057, -1.0847
          CN-Ni,        gCN-Pt-X,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0006,  0.1862, -1.7572
         CN num,           CN-Ni,           CN-Pt,  0.1335,  0.1334,  0.0200,  0.1683, -1.6086,  0.0200,  0.1661, -1.5910
         CN num,           CN-Pt,           CN-Ni,  0.1334,  0.1315,  0.0139,  0.1085, -1.1687,  0.0138,  0.1101, -1.1635
          CN-Ni,           CN-Pt,          CN num,  0.1345,  0.1331,  0.0001,  0.1879, -1.7704,  0.0005,  0.1861, -1.7571
         CN num,           CN-Ni,  exp neg strain,  0.2668,  0.2605,  0.0056,  0.8526, -1.1943,  0.0057,  0.9146, -1.2464
         CN num,  exp neg strain,           CN-Ni,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
          CN-Ni,  exp neg strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0012,  0.1869, -1.7610
         CN num,           CN-Ni,          strain,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,          strain,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,          strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7611
         CN num,           CN-Ni,  inverse strain,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,  inverse strain,           CN-Ni,  0.2770,  0.2713,  0.0000,  0.0291, -0.3270,  0.0000,  0.0309, -0.3197
          CN-Ni,  inverse strain,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7709,  0.0000,  0.1871, -1.7611
         CN num, mean CN of NN Ni, rms CN of NN Ni,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num, rms CN of NN Ni, mean CN of NN Ni,  0.2625,  0.2563,  0.0023,  0.0000, -0.4089,  0.0023,  0.0000, -0.4015
mean CN of NN Ni, rms CN of NN Ni,          CN num,  0.1332,  0.1318,  0.0003,  0.1848, -1.7685,  0.0003,  0.1836, -1.7565
         CN num, mean CN of NN Ni, sub surface Ni num,  0.2553,  0.2497,  0.0010,  0.1076, -0.3960,  0.0011,  0.1025, -0.3896
         CN num, sub surface Ni num, mean CN of NN Ni,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
mean CN of NN Ni, sub surface Ni num,          CN num,  0.1283,  0.1273,  0.0049,  0.1780, -1.7205,  0.0048,  0.1772, -1.7102
         CN num, mean CN of NN Ni,             BOO,  0.2615,  0.2557,  0.0023,  0.2511, -0.6481,  0.0023,  0.1951, -0.5871
         CN num,             BOO, mean CN of NN Ni,  0.1773,  0.1776,  0.1467,  0.0068, -1.4223,  0.1421,  0.0069, -1.3849
mean CN of NN Ni,             BOO,          CN num,  0.1344,  0.1330,  0.0012,  0.1871, -1.7710,  0.0015,  0.1859, -1.7605
         CN num, mean CN of NN Ni,  Pt bond length,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,  Pt bond length, mean CN of NN Ni,  0.1558,  0.1539,  0.0626,  0.0033, -1.6739,  0.0621,  0.0037, -1.6631
mean CN of NN Ni,  Pt bond length,          CN num,  0.1344,  0.1329,  0.0004,  0.1872, -1.7715,  0.0005,  0.1859, -1.7613
         CN num, mean CN of NN Ni,    surface curv,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,    surface curv, mean CN of NN Ni,  0.2742,  0.2678,  0.0000,  0.0108, -0.3600,  0.0000,  0.0116, -0.3564
mean CN of NN Ni,    surface curv,          CN num,  0.1345,  0.1331,  0.0000,  0.1880, -1.7708,  0.0000,  0.1871, -1.7612
         CN num, mean CN of NN Ni,      chemSROP11,  0.2622,  0.2560,  0.0023,  0.0445, -0.4090,  0.0023,  0.0575, -0.4015
         CN num,      chemSROP11, mean CN of NN Ni,  0.2742,  0.2678,  0.0056,  0.0108, -0.3597,  0.0056,  0.0116, -0.3562
mean CN of NN Ni,      chemSROP11,          CN num,  0.1343,  0.1330,  0.0059,  0.1880, -1.7711,  0.0045,  0.1871, -1.7608
         CN num, mean CN of NN Ni,      chemSROP12,  0.2622,  0.2560,  0.0023,  0.0376, -0.4109,  0.0023,  0.0671, -0.4043
