         CN num,      gen-CN num,      surface CN,           CN-Ni,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,             BOO,  0.1676,  0.1682,  0.0030,  0.1468, -1.2640,  0.0032,  0.1410, -1.2342
         CN num,             BOO,      gen-CN num,      surface CN,  0.1790,  0.1791,  0.1310,  0.0030, -1.3461,  0.1258,  0.0032, -1.3086
         CN num,      gen-CN num,      surface CN,  Pt bond length,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,  Pt bond length,  0.1464,  0.1456,  0.0019,  0.0635, -1.4555,  0.0021,  0.0622, -1.4407
         CN num,  Pt bond length,      gen-CN num,      surface CN,  0.1566,  0.1549,  0.0634,  0.0000, -1.6689,  0.0631,  0.0000, -1.6595
         CN num,      gen-CN num,      surface CN,    surface curv,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,    surface curv,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,    surface curv,      gen-CN num,      surface CN,  0.2189,  0.2167,  0.0000,  0.0151, -0.7102,  0.0000,  0.0144, -0.6866
         CN num,      gen-CN num,      surface CN,      chemSROP11,  0.1250,  0.1246,  0.0150,  0.0098, -1.0554,  0.0149,  0.0103, -1.0459
         CN num,      surface CN,      gen-CN num,      chemSROP11,  0.2299,  0.2269,  0.0112,  0.0136, -0.6836,  0.0107,  0.0099, -0.6607
         CN num,      chemSROP11,      gen-CN num,      surface CN,  0.2186,  0.2165,  0.0102,  0.0151, -0.7105,  0.0081,  0.0144, -0.6867
         CN num,      gen-CN num,      surface CN,      chemSROP12,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,      chemSROP12,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,      chemSROP12,      gen-CN num,      surface CN,  0.2189,  0.2167,  0.0000,  0.0151, -0.7102,  0.0000,  0.0144, -0.6867
         CN num,      gen-CN num,      surface CN,      chemSROP22,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,      chemSROP22,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,      chemSROP22,      gen-CN num,      surface CN,  0.2189,  0.2167,  0.0000,  0.0151, -0.7102,  0.0000,  0.0144, -0.6867
         CN num,      gen-CN num,      surface CN,       gCN-Ni-Ni,  0.1250,  0.1245,  0.0149,  0.0025, -1.0555,  0.0148,  0.0034, -1.0461
         CN num,      surface CN,      gen-CN num,       gCN-Ni-Ni,  0.2220,  0.2198,  0.0108,  0.0171, -0.7086,  0.0103,  0.0165, -0.6817
         CN num,       gCN-Ni-Ni,      gen-CN num,      surface CN,  0.2128,  0.2114,  0.0119,  0.0146, -0.7296,  0.0112,  0.0139, -0.7023
         CN num,      gen-CN num,      surface CN,       gCN-Ni-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,       gCN-Ni-Pt,  0.2209,  0.2172,  0.0104,  0.0136, -0.7196,  0.0099,  0.0138, -0.6989
         CN num,       gCN-Ni-Pt,      gen-CN num,      surface CN,  0.2130,  0.2103,  0.0087,  0.0142, -0.7369,  0.0090,  0.0135, -0.7145
         CN num,      gen-CN num,      surface CN,       gCN-Pt-Ni,  0.1248,  0.1244,  0.0148,  0.0036, -1.0565,  0.0146,  0.0045, -1.0473
         CN num,      surface CN,      gen-CN num,       gCN-Pt-Ni,  0.2012,  0.1981,  0.0088,  0.0325, -0.7774,  0.0085,  0.0319, -0.7589
         CN num,       gCN-Pt-Ni,      gen-CN num,      surface CN,  0.1988,  0.1963,  0.0226,  0.0121, -0.7834,  0.0224,  0.0116, -0.7627
         CN num,      gen-CN num,      surface CN,       gCN-Pt-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,       gCN-Pt-Pt,  0.1980,  0.1954,  0.0067,  0.0100, -0.8098,  0.0067,  0.0098, -0.7991
         CN num,       gCN-Pt-Pt,      gen-CN num,      surface CN,  0.1988,  0.1966,  0.0070,  0.0097, -0.8098,  0.0069,  0.0095, -0.7958
         CN num,      gen-CN num,      surface CN,        gCN-Ni-X,  0.1251,  0.1247,  0.0150,  0.0000, -1.0555,  0.0148,  0.0006, -1.0463
         CN num,      surface CN,      gen-CN num,        gCN-Ni-X,  0.2199,  0.2168,  0.0105,  0.0088, -0.7201,  0.0100,  0.0088, -0.6964
         CN num,        gCN-Ni-X,      gen-CN num,      surface CN,  0.2119,  0.2098,  0.0059,  0.0142, -0.7378,  0.0059,  0.0136, -0.7130
         CN num,      gen-CN num,      surface CN,        gCN-Pt-X,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,        gCN-Pt-X,  0.1766,  0.1744,  0.0047,  0.0124, -0.8756,  0.0049,  0.0121, -0.8685
         CN num,        gCN-Pt-X,      gen-CN num,      surface CN,  0.1803,  0.1784,  0.0098,  0.0063, -0.8811,  0.0096,  0.0063, -0.8710
         CN num,      gen-CN num,      surface CN,           CN-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,           CN-Pt,  0.1752,  0.1733,  0.0034,  0.0114, -0.8986,  0.0035,  0.0112, -0.8902
         CN num,           CN-Pt,      gen-CN num,      surface CN,  0.1816,  0.1798,  0.0088,  0.0052, -0.9044,  0.0086,  0.0052, -0.8929
         CN num,      gen-CN num,      surface CN,  exp neg strain,  0.1251,  0.1246,  0.0149,  0.0020, -1.0608,  0.0147,  0.0050, -1.0593
         CN num,      surface CN,      gen-CN num,  exp neg strain,  0.1135,  0.1132,  0.0016,  0.1877, -1.5152,  0.0018,  0.1844, -1.5002
         CN num,  exp neg strain,      gen-CN num,      surface CN,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
         CN num,      gen-CN num,      surface CN,          strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,          strain,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,          strain,      gen-CN num,      surface CN,  0.2189,  0.2167,  0.0000,  0.0151, -0.7102,  0.0000,  0.0144, -0.6867
         CN num,      gen-CN num,      surface CN,  inverse strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,      surface CN,      gen-CN num,  inverse strain,  0.2302,  0.2270,  0.0112,  0.0000, -0.6831,  0.0107,  0.0000, -0.6606
         CN num,  inverse strain,      gen-CN num,      surface CN,  0.2189,  0.2167,  0.0000,  0.0151, -0.7102,  0.0000,  0.0144, -0.6867
         CN num,      gen-CN num,           CN-Ni, mean CN of NN Ni,  0.1251,  0.1247,  0.0150,  0.0002, -1.0562,  0.0148,  0.0004, -1.0476
         CN num,           CN-Ni,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0000,  0.0030, -0.4175,  0.0000,  0.0030, -0.4091
         CN num, mean CN of NN Ni,      gen-CN num,           CN-Ni,  0.2621,  0.2560,  0.0020,  0.0016, -0.4099,  0.0021,  0.0014, -0.4025
         CN num,      gen-CN num,           CN-Ni, rms CN of NN Ni,  0.1251,  0.1247,  0.0150,  0.0002, -1.0561,  0.0148,  0.0004, -1.0475
         CN num,           CN-Ni,      gen-CN num, rms CN of NN Ni,  0.2590,  0.2532,  0.0000,  0.0030, -0.4173,  0.0000,  0.0030, -0.4089
         CN num, rms CN of NN Ni,      gen-CN num,           CN-Ni,  0.2623,  0.2562,  0.0020,  0.0016, -0.4094,  0.0021,  0.0014, -0.4020
         CN num,      gen-CN num,           CN-Ni, sub surface Ni num,  0.1238,  0.1236,  0.0147,  0.0071, -1.0495,  0.0146,  0.0069, -1.0403
         CN num,           CN-Ni,      gen-CN num, sub surface Ni num,  0.2511,  0.2462,  0.0000,  0.0226, -0.3696,  0.0000,  0.0222, -0.3603
         CN num, sub surface Ni num,      gen-CN num,           CN-Ni,  0.2522,  0.2472,  0.0183,  0.0000, -0.3692,  0.0179,  0.0000, -0.3598
         CN num,      gen-CN num,           CN-Ni,             BOO,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,             BOO,  0.1678,  0.1689,  0.0030,  0.1617, -1.2777,  0.0032,  0.1569, -1.2472
         CN num,             BOO,      gen-CN num,           CN-Ni,  0.1759,  0.1761,  0.1443,  0.0046, -1.3980,  0.1400,  0.0048, -1.3636
         CN num,      gen-CN num,           CN-Ni,  Pt bond length,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,  Pt bond length,  0.1478,  0.1474,  0.0005,  0.0675, -1.4662,  0.0008,  0.0667, -1.4515
         CN num,  Pt bond length,      gen-CN num,           CN-Ni,  0.1563,  0.1544,  0.0626,  0.0011, -1.6609,  0.0620,  0.0015, -1.6492
         CN num,      gen-CN num,           CN-Ni,    surface curv,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,    surface curv,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,    surface curv,      gen-CN num,           CN-Ni,  0.2693,  0.2636,  0.0000,  0.0083, -0.3585,  0.0000,  0.0085, -0.3507
         CN num,      gen-CN num,           CN-Ni,      chemSROP11,  0.1250,  0.1247,  0.0150,  0.0210, -1.0552,  0.0149,  0.0147, -1.0460
         CN num,           CN-Ni,      gen-CN num,      chemSROP11,  0.2713,  0.2655,  0.0061,  0.0041, -0.3524,  0.0063,  0.0034, -0.3449
         CN num,      chemSROP11,      gen-CN num,           CN-Ni,  0.2693,  0.2636,  0.0025,  0.0083, -0.3583,  0.0028,  0.0085, -0.3505
         CN num,      gen-CN num,           CN-Ni,      chemSROP12,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0033, -1.0462
         CN num,           CN-Ni,      gen-CN num,      chemSROP12,  0.2712,  0.2653,  0.0062,  0.0081, -0.3545,  0.0064,  0.0131, -0.3478
         CN num,      chemSROP12,      gen-CN num,           CN-Ni,  0.2692,  0.2633,  0.0069,  0.0085, -0.3605,  0.0110,  0.0087, -0.3535
         CN num,      gen-CN num,           CN-Ni,      chemSROP22,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,      chemSROP22,  0.2712,  0.2654,  0.0062,  0.0022, -0.3538,  0.0064,  0.0041, -0.3471
         CN num,      chemSROP22,      gen-CN num,           CN-Ni,  0.2692,  0.2635,  0.0021,  0.0084, -0.3599,  0.0035,  0.0086, -0.3528
         CN num,      gen-CN num,           CN-Ni,       gCN-Ni-Ni,  0.1251,  0.1248,  0.0150,  0.0004, -1.0555,  0.0149,  0.0006, -1.0462
         CN num,           CN-Ni,      gen-CN num,       gCN-Ni-Ni,  0.2695,  0.2641,  0.0013,  0.0170, -0.3418,  0.0019,  0.0157, -0.3352
         CN num,       gCN-Ni-Ni,      gen-CN num,           CN-Ni,  0.2692,  0.2635,  0.0034,  0.0069, -0.3560,  0.0027,  0.0074, -0.3488
         CN num,      gen-CN num,           CN-Ni,       gCN-Ni-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,       gCN-Ni-Pt,  0.2645,  0.2587,  0.0000,  0.0187, -0.3781,  0.0000,  0.0188, -0.3706
         CN num,       gCN-Ni-Pt,      gen-CN num,           CN-Ni,  0.2668,  0.2608,  0.0141,  0.0000, -0.3731,  0.0143,  0.0000, -0.3659
         CN num,      gen-CN num,           CN-Ni,       gCN-Pt-Ni,  0.1251,  0.1248,  0.0150,  0.0002, -1.0555,  0.0148,  0.0016, -1.0460
         CN num,           CN-Ni,      gen-CN num,       gCN-Pt-Ni,  0.2338,  0.2298,  0.0000,  0.0426, -0.5251,  0.0000,  0.0413, -0.5118
         CN num,       gCN-Pt-Ni,      gen-CN num,           CN-Ni,  0.2382,  0.2337,  0.0332,  0.0007, -0.5235,  0.0321,  0.0009, -0.5115
         CN num,      gen-CN num,           CN-Ni,       gCN-Pt-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,       gCN-Pt-Pt,  0.1558,  0.1543,  0.0144,  0.0180, -0.9504,  0.0146,  0.0178, -0.9421
         CN num,       gCN-Pt-Pt,      gen-CN num,           CN-Ni,  0.1534,  0.1522,  0.0153,  0.0189, -0.9879,  0.0151,  0.0191, -0.9792
         CN num,      gen-CN num,           CN-Ni,        gCN-Ni-X,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,        gCN-Ni-X,  0.2647,  0.2590,  0.0000,  0.0115, -0.3702,  0.0000,  0.0117, -0.3624
         CN num,        gCN-Ni-X,      gen-CN num,           CN-Ni,  0.2667,  0.2609,  0.0088,  0.0000, -0.3662,  0.0090,  0.0000, -0.3585
         CN num,      gen-CN num,           CN-Ni,        gCN-Pt-X,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,        gCN-Pt-X,  0.1387,  0.1381,  0.0114,  0.0171, -0.9882,  0.0116,  0.0168, -0.9783
         CN num,        gCN-Pt-X,      gen-CN num,           CN-Ni,  0.1350,  0.1343,  0.0147,  0.0151, -1.0392,  0.0146,  0.0153, -1.0302
         CN num,      gen-CN num,           CN-Ni,           CN-Pt,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0148,  0.0003, -1.0461
         CN num,           CN-Ni,      gen-CN num,           CN-Pt,  0.1262,  0.1256,  0.0119,  0.0153, -1.0661,  0.0120,  0.0151, -1.0575
         CN num,           CN-Pt,      gen-CN num,           CN-Ni,  0.1273,  0.1263,  0.0129,  0.0158, -1.1119,  0.0128,  0.0159, -1.1037
         CN num,      gen-CN num,           CN-Ni,  exp neg strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0008, -1.0466
         CN num,           CN-Ni,      gen-CN num,  exp neg strain,  0.1150,  0.1153,  0.0000,  0.1975, -1.5206,  0.0000,  0.1957, -1.5056
         CN num,  exp neg strain,      gen-CN num,           CN-Ni,  0.1188,  0.1168,  0.1867,  0.0000, -1.7500,  0.1859,  0.0000, -1.7396
         CN num,      gen-CN num,           CN-Ni,          strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,          strain,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,          strain,      gen-CN num,           CN-Ni,  0.2693,  0.2636,  0.0000,  0.0083, -0.3585,  0.0000,  0.0085, -0.3507
         CN num,      gen-CN num,           CN-Ni,  inverse strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num,           CN-Ni,      gen-CN num,  inverse strain,  0.2713,  0.2655,  0.0061,  0.0000, -0.3526,  0.0063,  0.0000, -0.3451
         CN num,  inverse strain,      gen-CN num,           CN-Ni,  0.2693,  0.2636,  0.0000,  0.0083, -0.3585,  0.0000,  0.0085, -0.3507
         CN num,      gen-CN num, mean CN of NN Ni, rms CN of NN Ni,  0.1242,  0.1239,  0.0148,  0.0003, -1.0629,  0.0146,  0.0003, -1.0527
         CN num, mean CN of NN Ni,      gen-CN num, rms CN of NN Ni,  0.2590,  0.2532,  0.0000,  0.0030, -0.4173,  0.0000,  0.0030, -0.4089
         CN num, rms CN of NN Ni,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0000,  0.0030, -0.4175,  0.0000,  0.0030, -0.4091
         CN num,      gen-CN num, mean CN of NN Ni, sub surface Ni num,  0.1206,  0.1206,  0.0143,  0.0041, -1.0434,  0.0142,  0.0040, -1.0337
         CN num, mean CN of NN Ni,      gen-CN num, sub surface Ni num,  0.2503,  0.2452,  0.0006,  0.0194, -0.3899,  0.0007,  0.0185, -0.3840
         CN num, sub surface Ni num,      gen-CN num, mean CN of NN Ni,  0.2503,  0.2450,  0.0138,  0.0012, -0.4012,  0.0132,  0.0013, -0.3941
         CN num,      gen-CN num, mean CN of NN Ni,             BOO,  0.1251,  0.1247,  0.0150,  0.0006, -1.0571,  0.0148,  0.0007, -1.0482
         CN num, mean CN of NN Ni,      gen-CN num,             BOO,  0.1663,  0.1679,  0.0010,  0.1575, -1.2729,  0.0010,  0.1524, -1.2385
         CN num,             BOO,      gen-CN num, mean CN of NN Ni,  0.1736,  0.1743,  0.1393,  0.0015, -1.3855,  0.1348,  0.0015, -1.3468
         CN num,      gen-CN num, mean CN of NN Ni,  Pt bond length,  0.1251,  0.1247,  0.0150,  0.0003, -1.0579,  0.0148,  0.0004, -1.0493
         CN num, mean CN of NN Ni,      gen-CN num,  Pt bond length,  0.1466,  0.1463,  0.0005,  0.0660, -1.4599,  0.0005,  0.0652, -1.4443
         CN num,  Pt bond length,      gen-CN num, mean CN of NN Ni,  0.1542,  0.1525,  0.0606,  0.0008, -1.6442,  0.0602,  0.0008, -1.6319
         CN num,      gen-CN num, mean CN of NN Ni,    surface curv,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,    surface curv,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,    surface curv,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0000,  0.0031, -0.4175,  0.0000,  0.0030, -0.4091
         CN num,      gen-CN num, mean CN of NN Ni,      chemSROP11,  0.1249,  0.1246,  0.0150,  0.0047, -1.0554,  0.0149,  0.0044, -1.0460
         CN num, mean CN of NN Ni,      gen-CN num,      chemSROP11,  0.2622,  0.2561,  0.0023,  0.0074, -0.4090,  0.0023,  0.0067, -0.4016
         CN num,      chemSROP11,      gen-CN num, mean CN of NN Ni,  0.2588,  0.2529,  0.0053,  0.0030, -0.4172,  0.0055,  0.0030, -0.4089
         CN num,      gen-CN num, mean CN of NN Ni,      chemSROP12,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,      chemSROP12,  0.2621,  0.2558,  0.0023,  0.0120, -0.4124,  0.0023,  0.0153, -0.4052
         CN num,      chemSROP12,      gen-CN num, mean CN of NN Ni,  0.2587,  0.2527,  0.0100,  0.0031, -0.4208,  0.0127,  0.0031, -0.4126
         CN num,      gen-CN num, mean CN of NN Ni,      chemSROP22,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,      chemSROP22,  0.2622,  0.2560,  0.0023,  0.0030, -0.4109,  0.0023,  0.0042, -0.4038
         CN num,      chemSROP22,      gen-CN num, mean CN of NN Ni,  0.2588,  0.2529,  0.0027,  0.0031, -0.4194,  0.0035,  0.0031, -0.4112
         CN num,      gen-CN num, mean CN of NN Ni,       gCN-Ni-Ni,  0.1244,  0.1240,  0.0148,  0.0026, -1.0561,  0.0147,  0.0027, -1.0468
         CN num, mean CN of NN Ni,      gen-CN num,       gCN-Ni-Ni,  0.2609,  0.2550,  0.0019,  0.0087, -0.4082,  0.0019,  0.0083, -0.4009
         CN num,       gCN-Ni-Ni,      gen-CN num, mean CN of NN Ni,  0.2585,  0.2526,  0.0040,  0.0028, -0.4172,  0.0039,  0.0028, -0.4089
         CN num,      gen-CN num, mean CN of NN Ni,       gCN-Ni-Pt,  0.1249,  0.1245,  0.0149,  0.0009, -1.0570,  0.0147,  0.0013, -1.0481
         CN num, mean CN of NN Ni,      gen-CN num,       gCN-Ni-Pt,  0.2613,  0.2552,  0.0016,  0.0077, -0.4094,  0.0016,  0.0074, -0.4021
         CN num,       gCN-Ni-Pt,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0001,  0.0030, -0.4175,  0.0003,  0.0030, -0.4092
         CN num,      gen-CN num, mean CN of NN Ni,       gCN-Pt-Ni,  0.1243,  0.1240,  0.0147,  0.0024, -1.0562,  0.0146,  0.0023, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,       gCN-Pt-Ni,  0.2334,  0.2292,  0.0004,  0.0402, -0.5306,  0.0005,  0.0382, -0.5189
         CN num,       gCN-Pt-Ni,      gen-CN num, mean CN of NN Ni,  0.2369,  0.2322,  0.0297,  0.0009, -0.5315,  0.0285,  0.0010, -0.5199
         CN num,      gen-CN num, mean CN of NN Ni,       gCN-Pt-Pt,  0.1250,  0.1247,  0.0149,  0.0002, -1.0551,  0.0148,  0.0002, -1.0457
         CN num, mean CN of NN Ni,      gen-CN num,       gCN-Pt-Pt,  0.1682,  0.1672,  0.0032,  0.0153, -0.8944,  0.0032,  0.0150, -0.8780
         CN num,       gCN-Pt-Pt,      gen-CN num, mean CN of NN Ni,  0.1670,  0.1664,  0.0128,  0.0042, -0.9191,  0.0125,  0.0041, -0.9019
         CN num,      gen-CN num, mean CN of NN Ni,        gCN-Ni-X,  0.1247,  0.1242,  0.0148,  0.0009, -1.0572,  0.0147,  0.0011, -1.0480
         CN num, mean CN of NN Ni,      gen-CN num,        gCN-Ni-X,  0.2608,  0.2548,  0.0016,  0.0053, -0.4087,  0.0016,  0.0051, -0.4014
         CN num,        gCN-Ni-X,      gen-CN num, mean CN of NN Ni,  0.2587,  0.2529,  0.0014,  0.0028, -0.4177,  0.0013,  0.0028, -0.4094
         CN num,      gen-CN num, mean CN of NN Ni,        gCN-Pt-X,  0.1249,  0.1246,  0.0148,  0.0003, -1.0551,  0.0147,  0.0003, -1.0454
         CN num, mean CN of NN Ni,      gen-CN num,        gCN-Pt-X,  0.1530,  0.1526,  0.0025,  0.0151, -0.9341,  0.0024,  0.0148, -0.9186
         CN num,        gCN-Pt-X,      gen-CN num, mean CN of NN Ni,  0.1515,  0.1511,  0.0129,  0.0033, -0.9711,  0.0126,  0.0032, -0.9560
         CN num,      gen-CN num, mean CN of NN Ni,           CN-Pt,  0.1247,  0.1244,  0.0148,  0.0003, -1.0562,  0.0146,  0.0003, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,           CN-Pt,  0.1475,  0.1466,  0.0024,  0.0133, -0.9869,  0.0024,  0.0131, -0.9734
         CN num,           CN-Pt,      gen-CN num, mean CN of NN Ni,  0.1497,  0.1486,  0.0111,  0.0032, -1.0186,  0.0109,  0.0032, -1.0054
         CN num,      gen-CN num, mean CN of NN Ni,  exp neg strain,  0.1246,  0.1242,  0.0149,  0.0022, -1.0632,  0.0147,  0.0025, -1.0540
         CN num, mean CN of NN Ni,      gen-CN num,  exp neg strain,  0.1150,  0.1153,  0.0000,  0.1970, -1.5197,  0.0001,  0.1949, -1.5038
         CN num,  exp neg strain,      gen-CN num, mean CN of NN Ni,  0.1187,  0.1167,  0.1850,  0.0002, -1.7437,  0.1839,  0.0002, -1.7318
         CN num,      gen-CN num, mean CN of NN Ni,          strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,          strain,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,          strain,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0000,  0.0030, -0.4175,  0.0000,  0.0030, -0.4091
         CN num,      gen-CN num, mean CN of NN Ni,  inverse strain,  0.1251,  0.1248,  0.0150,  0.0000, -1.0555,  0.0149,  0.0000, -1.0462
         CN num, mean CN of NN Ni,      gen-CN num,  inverse strain,  0.2623,  0.2562,  0.0023,  0.0000, -0.4092,  0.0023,  0.0000, -0.4018
         CN num,  inverse strain,      gen-CN num, mean CN of NN Ni,  0.2589,  0.2530,  0.0000,  0.0030, -0.4175,  0.0000,  0.0030, -0.4091
         CN num,      gen-CN num, rms CN of NN Ni, sub surface Ni num,  0.1207,  0.1206,  0.0143,  0.0040, -1.0436,  0.0142,  0.0039, -1.0339
         CN num, rms CN of NN Ni,      gen-CN num, sub surface Ni num,  0.2504,  0.2452,  0.0006,  0.0196, -0.3891,  0.0007,  0.0186, -0.3833
         CN num, sub surface Ni num,      gen-CN num, rms CN of NN Ni,  0.2504,  0.2451,  0.0139,  0.0012, -0.4005,  0.0133,  0.0013, -0.3935
         CN num,      gen-CN num, rms CN of NN Ni,             BOO,  0.1251,  0.1247,  0.0150,  0.0005, -1.0570,  0.0148,  0.0007, -1.0480
         CN num, rms CN of NN Ni,      gen-CN num,             BOO,  0.1663,  0.1679,  0.0010,  0.1576, -1.2733,  0.0010,  0.1525, -1.2389
         CN num,             BOO,      gen-CN num, rms CN of NN Ni,  0.1737,  0.1743,  0.1394,  0.0015, -1.3859,  0.1348,  0.0014, -1.3472
